72, -63.809875 4.063654 1.877515 1.559942 -0.28888 1.019673 -0.438376 0.780344 -0.295864 0.47414 -0.099262 0.449028 0.037014 0.351882 0.016395 0.27403 0.0072 0.27635 0.055096 0.240498 0.110466 0.225843 0.150776 0.226774;
73, -67.460617 0.03735 0.189875 0.034769 0.134636 0.030562 0.08391 0.027257 0.04834 0.022487 0.03029 0.017714 0.029721 0.01535 0.03929 0.013992 0.047435 0.011363 0.046615 0.006841 0.035362 0.00445 0.018331 0.003685;
74, -58.926666 12.032866 3.306962 3.589609 -0.076328 1.041951 0.058273 0.632484 -0.311931 0.742566 -0.010413 0.49095 0.222778 0.405574 -0.021136 0.323306 -0.216071 0.288749 -0.015931 0.270639 0.054372 0.23253 0.109355 0.20177;
75, -64.553383 2.861592 1.528743 1.153795 -0.395078 0.890671 -0.498418 0.719011 -0.164703 0.344686 0.05342 0.299866 0.181715 0.309453 0.017468 0.206351 -0.216158 0.230382 -0.172478 0.194195 0.056209 0.176664 0.153084 0.198849;
76, -59.062504 8.967282 2.324278 1.739649 -1.450061 1.90891 -0.122707 0.897008 -0.619455 0.975792 -0.793499 0.935403 -0.357429 0.706008 -0.00036 0.521209 -0.110866 0.320269 -0.193873 0.310051 -0.07555 0.296251 0.207707 0.311311;
77, -66.891624 1.746578 0.417719 0.607733 0.019811 0.55885 0.002131 0.211531 -0.017976 0.191733 -0.011332 0.222975 0.009595 0.152034 -0.035222 0.127358 -0.055951 0.132397 -0.043537 0.115537 -0.007922 0.065586 0.026891 0.094565;
78, -60.556206 9.029818 2.085744 1.909159 -0.93251 1.491099 -0.127917 0.621305 -0.656341 0.965052 -0.814678 0.720513 -0.601935 0.591087 -0.289907 0.485054 -0.231393 0.430092 -0.196839 0.370681 0.003076 0.240771 0.178386 0.311973;
79, -47.128323 10.725283 5.356152 2.443755 -2.763717 1.414737 0.098816 1.047444 -1.038642 1.019945 -1.069378 0.881112 -0.533721 0.637799 -0.008918 0.55706 -0.432094 0.466179 -0.319975 0.472179 -0.037388 0.385762 0.324778 0.385832;
80, -39.366734 7.91376 6.427479 2.176797 -3.076106 1.121706 0.111858 0.896215 -1.524118 0.733671 -0.911502 0.831557 -0.328713 0.681693 0.305428 0.515506 -0.526603 0.445328 -0.145979 0.412946 -0.014068 0.365832 0.515997 0.379926;
81, -50.635002 10.077177 5.622705 1.988007 -1.883816 1.830255 -0.886544 1.147499 -1.223463 1.047859 -0.887002 1.016032 -0.609433 0.763946 -0.202928 0.734619 -0.250204 0.620902 -0.199004 0.415551 -0.110198 0.35489 0.24261 0.501104;
82, -59.461384 7.902821 2.617935 1.694702 -1.011318 1.643323 -0.194765 0.956866 -0.3707 0.915234 -0.349279 0.570269 -0.365547 0.549869 -0.28537 0.517957 -0.022936 0.414851 -0.086541 0.301241 -0.13652 0.363674 0.178114 0.303831;
83, -53.442497 9.32031 4.577547 2.023931 -1.4531 1.653135 -0.549735 0.879483 -1.177207 0.811093 -0.723894 0.723615 -0.431541 0.64769 -0.387904 0.602997 -0.338593 0.488991 -0.21422 0.335877 -0.060779 0.347428 0.335174 0.385986;
84, -50.123547 9.508041 7.456512 1.749525 -0.130805 1.58461 -0.825278 1.054744 -1.269714 0.73141 -0.286879 0.604675 0.115274 0.460418 0.078176 0.397886 -0.329955 0.404667 -0.22388 0.30996 0.06649 0.298418 0.308681 0.35647;
85, -48.264835 10.533463 7.277042 1.717751 -0.741295 1.904415 -0.632227 1.189942 -1.271554 0.756539 -0.368175 0.7116 0.14613 0.615368 0.15306 0.497271 -0.393792 0.382354 -0.297096 0.327465 0.097996 0.281637 0.384188 0.332937;
86, -52.158627 6.47714 6.915348 1.867835 -0.617916 1.350429 -0.623852 0.991535 -1.014566 0.828942 -0.326483 0.860591 0.376998 0.462506 0.112758 0.471372 -0.390725 0.385253 -0.236356 0.34635 0.131486 0.359838 0.258445 0.305392;
87, -44.935158 6.227722 8.124034 1.136565 -1.561751 1.112098 -0.079832 1.03522 -1.211805 0.881209 -0.531693 0.651778 0.25995 0.509854 0.126608 0.421783 -0.407188 0.402279 -0.262627 0.359884 0.073553 0.313019 0.348376 0.361312;
88, -49.319679 10.363056 7.143865 1.894624 -0.115113 1.692802 -0.093558 1.076751 -0.943873 1.065669 -0.422896 0.543454 -0.032312 0.527752 -0.001054 0.389484 -0.302982 0.420712 -0.210341 0.354613 -0.015976 0.349332 0.251077 0.383037;
89, -47.196465 9.191618 7.540865 1.635034 -0.589244 1.701106 -0.286682 1.130343 -1.414134 0.920625 -0.45553 0.67714 -0.002175 0.6296 -0.098051 0.469126 -0.291842 0.382807 -0.321453 0.318932 -0.045323 0.32195 0.33974 0.358071;
90, -58.006195 7.978602 5.432702 2.121825 1.424112 1.2785 0.091539 1.065193 -0.508682 0.866713 -0.204556 0.354795 -0.021453 0.35754 -0.058175 0.304107 -0.218164 0.366892 -0.127296 0.226784 -0.026769 0.270696 0.058082 0.318341;
91, -55.791466 8.076777 5.814211 1.991038 0.791093 1.450753 0.159924 1.177236 -0.123546 0.937078 -0.035259 0.451037 0.086665 0.346848 0.031562 0.352578 -0.334373 0.304177 -0.427212 0.307869 -0.23436 0.353833 -0.015242 0.337168;
92, -59.506493 6.813065 4.747388 2.208793 0.882211 1.048235 -0.508231 0.832438 -0.843625 0.68697 -0.393271 0.461572 -0.111759 0.411457 -0.15315 0.346828 -0.239847 0.306271 -0.136427 0.247078 0.027476 0.243455 0.127972 0.249246;
93, -64.550041 4.883117 1.853581 2.032818 0.234309 0.571796 -0.402051 0.750457 -0.542179 0.712253 -0.274237 0.390281 -0.035528 0.247215 0.04278 0.228059 0.03277 0.217877 -0.013984 0.155458 -0.010825 0.120724 0.038338 0.207369;
94, -54.378834 9.645622 5.161647 2.782741 -2.506118 2.841305 -1.585147 1.032387 -0.685064 0.575246 -0.780061 0.862185 -0.259895 0.791795 -0.027427 0.474786 -0.534212 0.504219 -0.643203 0.420095 -0.353438 0.315814 -0.056041 0.35462;
